communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
500,664.6907484522651,647.032853566116,623.3792588398464,619.4918604911702,34286.08,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,493.40678621734185,581.2538328495102,537.9285550213111,610.9350120521565,33684.9,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,512.8292162858737,591.2478793466669,581.6681450020473,637.4598229689366,35566.0,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,668.0900208233754,661.9836647596759,658.4614207571138,655.5645980488349,32670.4,3463,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,667.9817655458953,666.6966549225168,672.0272726908311,669.5713469447511,33065.8,3611,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,633.0199697765153,619.629072645765,672.9422380343638,646.2439181509974,35514.3,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,627.1056636799688,631.2214345823157,625.4140917710595,630.2872980700846,34074.6,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,721.6944973211274,710.6676680744552,713.5818845989361,705.2592595929942,36210.22,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,643.4930505160798,644.4677792355518,643.0220482267672,644.057395642091,34224.16,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,777.5406893240281,726.2575715194305,733.4398795628081,696.378211142392,36013.78,3905,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,593.4275004848265,563.9671867265954,579.5877798173822,554.220019845273,36230.9,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,602.9146837416732,627.4702495890252,595.5064796920229,621.4659878926917,31279.16,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,543.9952991605608,628.7307470250372,582.0779276942744,654.1191660475131,34894.46,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,673.5348718512009,662.4440454766236,662.5945862174542,655.1555397454869,32747.18,3378,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,542.925579523431,586.0206377717019,574.5945267842158,607.5141396451413,33553.4,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,579.3314883295895,625.019949876456,628.5280451957339,657.7007179432431,35735.5,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,649.1733723986808,652.6989253285782,638.7088375414565,645.7225687570954,32009.22,3145,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,593.6056317012111,609.2619271905791,620.3588275789697,627.4672877886981,33151.72,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,712.1352818000306,712.9070256711076,705.3644033506242,708.3931067048367,35084.26,3802,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,641.5470928163902,589.9901762538742,640.6270608474247,586.0010293016605,34755.4,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,653.2454002809911,629.0751983235469,673.5333448472401,641.1185564835898,33848.52,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,524.1956725993132,570.119734266845,617.3444882384152,632.2189446929129,38199.44,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,613.1599313300229,604.694610959387,615.7374491847721,606.7810508033995,33506.4,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,653.1085716381896,676.0153067637999,647.0229125767611,671.9582007228477,34032.66,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,690.6622674284514,669.5186708998323,687.177623614177,667.1955750236494,34615.66,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,602.0980844523012,573.3977577519987,590.9137708781428,565.357681598355,34303.32,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
