communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
200,560.5252856361329,593.7610188548437,556.3237415142228,590.9599894402368,29843.76,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,674.6279006953134,657.0656332175463,670.9062251032389,654.1231630933069,32729.12,3251,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,692.4226434173744,690.5311271060301,681.8609418477503,683.7789989015566,33989.78,3285,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,613.3975329108481,638.0602139042992,607.3839946645564,634.0511884067715,31849.74,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,656.1893141318204,652.9276903091369,652.3313130044494,650.3556895575562,32272.06,3252,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,641.3373534148858,651.5556295494328,645.371972229071,654.2453754255562,34477.52,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,667.9373615705135,659.295612020594,670.6994209143195,660.7568579533407,32814.58,3361,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,658.4184067208773,670.6078780262054,677.43556235984,683.0583923077262,33283.5,3375,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,603.3573786990802,594.5966222777691,599.6272032713022,592.2775246923682,30723.84,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,657.138310468217,680.3944650473463,660.9086912936555,683.557578056095,33272.02,3722,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,684.4716064318036,645.9100221159723,683.4412741019955,641.4700086974979,33476.32,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,651.7954630337637,676.5756649452677,648.2071141790876,671.3465772988658,33716.38,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,642.1131866879621,644.6215967205517,616.3734417146765,631.2281874058115,33810.98,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,666.9635602466268,675.8508953428881,664.8838051252831,674.829961602579,33183.38,3493,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,676.2103699778783,668.3777909027614,687.6525025733993,675.3633889107542,33422.2,3268,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,688.8791687663424,655.086045098766,685.2170355999876,650.6358902877813,33814.86,4000,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,665.4416972462834,653.5290202609664,645.744738281174,640.9166664162129,32181.06,3127,2,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
