communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
500,633.742131107363,716.5172672848089,613.6161506247474,709.9600214070691,34610.64,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,611.9778780083509,686.8930833568771,586.5582815187252,669.9466856971269,32787.45,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,681.664208078206,704.5388383541932,658.9371474229044,690.9075209483686,34072.24,3352,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,638.3179055073151,697.5830533926853,626.9675317512398,690.0161375553018,33193.48,3103,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,643.555355239125,693.1161875884987,629.247673702605,687.8356341565449,33236.68,3179,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,689.7658640632486,704.52185271244,640.6318116848785,671.7658177935266,34829.96,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,601.1680719216986,680.9449999492693,635.8830217535344,704.0882998371596,33762.78,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,676.7936460588196,724.8294700034971,663.3038882654807,717.8871508658718,34810.22,3278,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,714.8601753073772,734.4847575389257,695.3314170677553,722.7706967282166,35661.66,3429,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,668.8004286892351,688.6825088024103,654.9943655327022,680.6014048070454,33497.72,3283,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,629.0504179747437,651.8104399412645,591.9942883574795,631.0940969686741,31278.2,3183,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,630.4214232444073,689.4942069677287,635.4228198960353,689.2237122640344,33002.14,3176,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,667.5076081733089,735.0236427501625,653.8914165616076,725.946181675695,34875.6,3228,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,625.088688109914,722.4171927665349,603.4932924275436,708.0202623116215,35653.64,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,636.3433242108732,665.2254194961866,633.6252434366178,663.4133656466831,32377.32,3065,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,663.0653890379695,694.5999740173322,671.2616829555755,700.8421129977949,34027.46,3329,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,659.9199294158409,678.9234759118173,652.99128382255,675.1687852525989,34394.18,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,655.9207650365308,706.3091494343212,646.2845875121436,699.8850310847298,33852.02,2988,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,630.9245254915094,674.3151558253529,616.7590717170599,664.8715199757199,32301.68,2932,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,624.7772310293503,685.8430675824039,558.4344805983134,650.1084730939855,33553.96,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,663.9659590814543,671.7827065440713,626.1782316715223,646.5908882707831,32394.0,3142,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,654.8121260209722,725.2817639587474,614.4338291209373,694.6679681974638,34540.0,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,643.3729483613977,635.3063875443786,616.4657976628763,617.3682870786977,32878.48,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,668.4162706638679,713.4380440535539,677.4543353381953,717.0645065887481,34594.48,3233,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,666.6970776061452,646.5688192885816,645.2628347219734,632.2793240324668,33077.72,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,695.4182745718008,711.231400346061,660.1472431922191,686.0145741878786,35392.12,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,683.1087077946739,708.1929990686427,681.4876398843455,708.8926444073769,34640.68,3182,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,665.8676389936294,697.5914202998727,632.8122772154445,675.5545124477496,35432.88,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,600.3279174188136,657.8975406248932,593.0020930264358,655.1768392832564,32448.94,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,697.0848285059576,717.4058472111801,655.2112419201386,685.343815801231,34237.04,3073,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,674.6881907691511,683.5166083380134,670.2766245706866,680.5755642057036,33571.76,3346,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,704.7130832705661,666.7282257089071,665.1380491954699,640.2918637750614,35212.58,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,664.4263219468509,694.1288648332837,642.2503590150174,677.6156060181191,33342.48,3008,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,677.269025021068,661.6288862436858,654.6313625720572,647.0036128557873,34906.62,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,682.0643511143571,690.5406404011737,656.8506532354728,675.9775076262978,33656.2,3162,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,684.7287180608248,713.005256331174,681.4054801521933,706.5764609015556,34569.5,3131,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,716.1031324301449,708.7037136684637,651.5324111946137,667.5622762605711,34049.62,3401,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,606.1162879509096,715.1117367453794,615.4455364654917,718.0090290791044,34389.3,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,616.3739894113659,661.6635911913725,605.1858428853783,650.4396436203145,32732.58,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,680.8003181399794,730.4759464129,668.4510400467916,718.1081005930341,34900.74,3202,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,607.9581998837928,677.1348267057438,627.1882541446774,693.284634383738,33910.04,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,696.5934042993127,730.0974393392405,655.7003334746387,707.7951991804313,34880.22,3310,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,690.2936085956284,716.6536957266833,681.2883795275384,711.8290535545947,34869.06,3326,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,687.0165377065471,671.1536987490662,649.4615510910292,646.1170410053875,32862.2,3238,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,624.1826398678388,673.7745252601782,577.3597590384087,645.773096914617,33988.56,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,627.1325166352946,668.1933211157303,595.4611824512809,651.9279075706844,32916.14,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,686.0736920983825,691.7473188142593,653.589795748488,671.3633053498555,33588.02,3160,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,691.1749235633994,715.960373815014,669.9313143153374,704.8665716162843,34692.22,3321,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,610.1121147249753,707.3754010982782,618.0497030250107,706.7120800934173,35127.0,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,711.906339779532,718.4382171461456,684.0222993039217,700.9960540904793,34975.06,3298,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,651.1092167793961,680.2158145057399,657.1147873762184,684.9895624746053,34496.84,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,642.8968293166838,644.5908868254511,633.189609341215,638.1194068418051,32950.48,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,700.9008670406452,736.4621682437878,697.7706129238071,734.3753321658955,35735.92,3401,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,682.5788791017562,711.9279308156666,666.7546507322795,701.3784452360153,34394.7,3376,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,643.1002379917064,698.5129153194574,659.1648932073216,713.1574876744145,34005.46,3481,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,643.9547053747522,678.9079744884995,622.4461764881838,668.333075097475,32667.0,3206,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,657.8483045546288,731.8009483941321,649.7831501228978,723.690252163937,34597.62,3090,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,670.6653813089065,721.4776902862756,648.1089062250212,711.3312925011021,36426.52,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,697.801927698913,717.876488475261,683.7843795613467,710.8042636444775,34990.12,3407,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,677.8051367663803,700.6423736857025,675.5478391123286,699.1375085830012,34240.0,3275,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,661.7185544126494,695.7002022807981,647.5352624815484,689.4556703133476,33677.44,3246,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,692.0481163462298,726.6025235267459,665.0428005693082,708.5989796754646,34835.32,3176,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
