communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
200,661.8379545058289,665.6014259310128,640.5586136900988,649.7456779044652,33399.58,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,630.2198137616206,635.2684579958994,630.2911101079138,635.4819004896946,33723.12,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,618.7086750919494,624.9596111141915,587.7405881357611,605.554853909347,33020.8,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,704.4433616094375,623.1969134518489,703.4113446052728,627.8565308593006,35400.76,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,626.9364351876603,624.0429034953899,621.524023684557,620.60255448071,30829.66,2884,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,673.1085028080448,670.1626884055024,679.3463109882529,674.0151064395493,33279.22,3245,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,635.6668826125563,640.0698292239232,635.7183324753506,640.2491790240721,33983.64,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,629.260108538889,638.5197075470032,641.6738558612357,647.0058156495165,31640.38,3167,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,674.5336959453962,635.2954637211933,647.0093985565061,616.165003139579,32641.88,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,724.5667441330238,732.6741546208684,716.6314330762318,727.383947249674,35876.36,3464,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,650.036772582275,675.8229451365835,632.9898045853286,664.4582998052858,33599.44,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,697.2571877334915,670.5151734745974,689.1855362736595,664.5117270747407,34689.0,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,651.1584473152747,674.4802325678785,643.4610148904947,668.3146370287791,32709.98,3674,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,654.178390732329,664.3315814846451,650.5250472254648,661.8960191467357,32576.5,3207,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,655.8585067900573,678.9203429654149,655.1010589690934,678.415377751439,34297.22,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,565.3805039075895,610.2061454476267,599.1481992877234,633.0865405730459,32369.58,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,684.0443694898192,691.8113496962162,694.4230959475375,698.7305006680284,34247.02,3309,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,666.2953274386007,657.1633954711756,666.9363631930812,657.2649870500991,32672.1,3208,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,649.7552161107535,660.1317843535743,654.9451249486085,663.591723578811,32521.9,3152,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,688.0634154172028,678.3347621568973,686.5319996097343,677.5870595336793,34699.78,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,640.1042664612041,634.7970601709268,640.0790872497644,634.6042064606723,31502.84,3196,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,639.2163071862317,687.9250154652717,664.2560541644533,703.0402493640315,35870.08,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,676.4295660858405,704.4245060227261,662.7250431774193,695.2881574171118,35175.08,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,640.3763510981731,655.9787524701915,654.5005237859749,665.4934161743404,32453.44,3310,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,674.2079904699584,648.3119294608583,663.4939573037838,640.1571054938801,33208.72,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,669.4503546127787,662.5748227503316,670.0570285699202,662.7298651944396,32911.42,3262,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,602.6702151120945,616.4420431652319,587.225062992212,607.1191744244109,32058.72,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,641.4614351521772,688.2445671593639,646.8239940035755,691.8196063936297,34076.2,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,685.5668559362117,705.5358074235216,675.5478500039884,699.856068716024,34322.56,3241,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,621.838586699743,632.1194344826922,658.3826190960286,655.6066832597714,32807.84,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,681.1018782885176,685.1608850754852,687.5104847029558,689.589929326942,33923.4,3566,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,646.6707588013253,703.4035097614767,652.4168055278744,708.9337643869626,34980.68,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,611.767410961879,667.2801219134609,608.7474917600099,667.2179301173297,35319.28,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,659.3697242744729,669.5984784550894,640.3648781823481,656.9285810603395,32713.14,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,623.2075977278049,640.2480362890603,695.0420486109297,686.3112031337479,37431.1,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,661.4090154140388,656.7486594241275,695.6087312074516,680.84380567918,35158.96,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,598.2013098336643,642.083302516461,622.8946443525454,658.5455255290484,33738.14,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,648.4714098729692,659.8806996629346,661.2936224102395,668.5230362042687,32658.06,3136,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,640.2598577634121,635.9303191785178,638.82411896317,634.9731599783564,32511.94,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,667.0113367886333,664.7029085395085,628.2272817524624,640.0627260749627,33205.06,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,684.9872208311062,686.6281341408279,704.8938236831375,699.8992027088487,34324.14,3171,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,673.6765974744025,691.337310537617,654.4215743758407,678.5006284719088,34344.0,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,628.6190162793092,675.6858235966342,622.2526894420153,673.2227101769256,33398.62,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,669.1724765766892,648.883867787009,684.018906471914,657.6103197609951,33631.6,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,659.7357394782381,651.3211731398586,662.7461432114092,653.7089412976911,32444.26,3150,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,676.4644643980135,678.3385604184509,680.7265314690128,681.0207403957463,33607.84,3479,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,703.3463731635863,729.2030897605046,719.3303209411594,738.8717780636188,35799.82,3608,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,587.4938070803006,617.5117385973688,630.2096622447195,646.4122394952263,34305.5,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,649.0074858321295,669.428269057516,661.3856313969485,677.4122781787098,34916.94,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,635.333778365675,655.3535664874897,630.3867670525076,652.0555589453782,33128.3,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,641.074098681995,608.6199351087961,648.9799981635115,616.5812056334548,32184.52,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,656.3775255507479,669.9007332529134,664.0925289140088,675.4312824510141,32999.66,3307,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,663.134773339787,640.6406600628566,680.6590830345527,650.9895857603107,32431.78,3522,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,657.7787294447472,697.4043929031312,675.1161028358368,708.9626418305244,34032.64,3474,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,639.874965256391,618.5559303107649,631.1947490964956,612.7691195375013,33821.46,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,640.6918517983695,657.7218661223104,650.3423554118604,663.6635678172744,32385.44,3267,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,577.4065768251078,645.506412104293,585.2288575039809,650.7212658902083,33548.58,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,639.8667906777978,645.9419641664551,668.3677401547354,665.6901230173563,33321.1,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,720.6718940873891,695.3634872442952,709.4948961172058,687.4411083017426,34648.72,3593,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,678.401397626794,672.6886992250423,664.4740839253449,662.8561824040964,33089.42,3265,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,686.341650666563,655.122371842913,684.1203599114067,652.6749117371925,33972.92,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
