communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
200,601.1294702142202,635.6640287595109,607.2645963791182,638.8074651234297,30869.82,3662,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,610.3305373586177,624.1794494655378,642.810099663056,645.2114693285795,35543.12,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,660.3635765298525,667.011695909307,679.2110836767893,679.5767006739314,33219.52,3214,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,599.3730875238031,621.5190334306709,598.5799879313831,621.754935219034,35105.74,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,702.6524766623799,709.0329032105391,697.9549285175227,705.901204447301,34828.9,3530,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,694.6590228575335,687.639760516188,687.51849851884,682.8915371567936,34011.28,3372,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,695.7873841715805,697.1628249629268,663.5968187874803,675.7024480401932,34840.74,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,666.7634198192907,681.4920289419107,679.6212831799096,690.06393784899,33661.46,3216,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,642.335987242265,646.5371184721588,633.306750492264,640.9586395714881,31724.08,3096,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,608.6899228295614,645.7114957994708,598.3006903519465,638.785340814394,32040.36,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,682.7867978238642,678.6898662922299,698.7866751747385,691.3661320810638,34019.38,3220,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,693.3619338746169,705.0462075587154,687.3013049007052,701.0057882427743,34512.68,3646,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,665.9475930117035,674.2734774019984,665.3739045019552,674.187670825501,33164.52,3560,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,693.5854670710353,695.7797080366414,693.0273548564119,695.4993783329003,34322.22,3476,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,652.500191185933,677.5342912037164,658.2095511453707,680.0522151727852,34297.78,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,668.8800722936878,668.2910136331203,677.9050606586608,673.9872043089179,33217.96,3445,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,679.1051704745643,672.2237169364475,693.1111758463082,680.8648052206149,34627.38,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,701.9173222827011,705.5832923325888,720.1864486558829,718.7362536695963,35220.96,3476,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,692.6763679697226,686.8604418193032,695.0011249565183,688.1389237059266,34108.14,3419,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,667.1397193111324,669.2406366222032,674.0703424183098,673.8610520269882,33179.78,3551,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,691.2615871984824,678.1788203588837,689.0297103552964,677.0525987966398,33731.54,3396,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,677.496625886532,692.8351803117339,683.9541856082946,697.7322864398049,34090.32,3372,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,622.7756327791537,639.0569939654335,630.5974469140108,643.989551820291,33777.1,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,644.134356228662,669.9259213776025,642.3167826672479,668.7142056699932,33760.6,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,669.3126822099056,659.8994532129185,663.6274923762167,656.1093266571258,32698.96,3637,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,676.0878437789804,660.989727087071,689.3531122552004,668.8877932322798,34197.28,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,652.1685080722779,634.1279271788071,645.748682778235,630.235402169426,32514.1,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,661.6204029122969,652.2925516642765,641.5267188548555,638.5379011990012,32049.12,3663,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,654.2342370645667,643.4333551564619,644.5528336218373,636.9790861946424,34239.22,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,669.7972025633869,652.6867825649998,671.817744786784,654.033810713931,33664.46,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,678.1852747542821,676.8128851896155,683.702809315588,680.7209057013517,33610.24,3088,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,645.4372395893789,648.8103559886907,673.4561317033305,667.4896173979919,33592.0,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,685.3962952656545,661.8570830476729,695.863753954701,668.8353888403706,35466.26,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,728.09936628167,718.666626971426,726.9317567675523,717.8882206286806,36565.42,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,669.1296317782255,675.3297011104406,668.5995544603985,674.9763162318892,33237.72,3700,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,684.0745663613741,653.8654039074223,669.2647741674143,643.9922091114491,33518.54,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,661.0727852182274,667.1728178634718,655.5053927862772,663.4612229088385,32763.02,3110,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,698.7534218231924,691.4102899495108,686.7203263505534,683.388226301085,34095.48,3243,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,657.665273431831,601.1038146400107,649.4285049796412,595.6126356718843,32783.8,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,657.4665116921853,684.174944441948,641.0584333980372,673.2362255791826,33882.16,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,607.8652656136474,639.1690910240342,649.620039578536,667.70233690426,35233.84,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,631.0564527240331,634.0210849567504,638.0081334756494,638.5226371738647,31482.48,3201,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,655.7332589027367,663.9740257088996,645.4830398383876,656.524180136983,32477.74,3425,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,708.6175790566059,673.6277739544132,715.1631085222498,676.6069491125813,34979.52,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,692.365096828437,656.3990538504758,646.1107727557204,626.2487232083151,34189.76,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,677.323841090381,703.1220151857061,679.984877727282,705.6672775255876,34325.78,3448,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,667.8510365938009,671.6185924608471,616.955623450041,637.6883170316738,33149.08,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,665.5736311770452,668.1095722905707,663.2894397319271,666.9081201644016,32959.02,3409,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,651.3898233762632,658.775735759691,645.2825530129545,655.1539949423764,32325.9,3199,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,686.3764696905567,665.9763018976713,644.6983506676468,638.1908892157313,34602.78,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,661.9583150353537,661.3056047640861,658.0938341327455,658.7292841623473,32637.64,3092,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,666.341802070069,661.3577631036857,647.8929594297401,649.0585346767997,32431.4,3426,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,685.9883975318927,642.1007753054963,671.0538155450861,631.1792859729723,33340.84,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,689.1243287168753,655.7758254798158,665.098976216051,639.4481521213917,33786.92,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,662.7116497969452,682.9983247215993,670.4307585543693,688.1443972265489,33522.14,3488,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,694.7808617531921,678.1216904851397,674.4580232663022,664.5731314938797,33449.9,3360,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,619.0362390841573,628.6888864662743,619.2092305256759,629.1202026253067,32706.4,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,684.8341667225807,647.0147768283733,687.1276284541577,649.880846370284,36637.74,4000,4,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
