communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
200,650.7316211741027,671.8646445125859,634.6612508977651,661.151064328361,32498.52,3529,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,663.1291207626275,664.7990047323957,665.1104866817248,666.1406808084157,32890.64,3424,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,687.0527599399219,653.7890009446007,684.220577278331,651.9008791702068,35072.34,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,561.5292688693027,557.2901994181561,623.3546198050899,598.5071000420143,36709.14,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,683.3656276308626,702.4078151908747,673.2446192827117,697.6046893526516,35172.56,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,651.131926965889,628.7264227510918,640.0005720463794,621.6813244479283,32242.38,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,648.3325085949766,620.8792231737038,653.8060173596216,624.5282290168004,36123.98,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,599.9470711942656,646.44528547395,629.4651412452631,664.991989226036,33005.6,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,691.6233222568624,701.5070201540823,687.6060194317292,698.365451579915,34404.48,3488,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,650.4731500833736,677.0027260746682,685.4891229388924,700.6295878738214,34547.46,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,661.4262087273001,651.4009969634161,647.6121126909111,642.3178957482403,34328.8,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,665.0467871789831,672.6518349019465,664.7341138287952,672.1794619660496,33098.76,3265,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,672.881302569612,650.7790278370873,674.2886057366868,650.9335773518171,33564.68,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,632.0285754369626,624.5001601766866,648.8391800533126,635.7072299209199,33534.28,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,624.5450306216619,639.3134285686657,652.8741817738647,658.1995293368005,34565.62,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,698.7306231163523,654.1829344700704,645.1108942190883,618.7388498802608,34240.5,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,662.3350860896385,665.2195108603615,671.568040819633,671.3748140136912,33028.76,3870,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,661.8531906439208,648.0263811440054,648.3894013815681,639.038420961185,33940.84,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,629.7379334412559,621.1101518927011,630.2972831837203,620.8705763016095,33866.2,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,652.1867681084346,679.8233195417909,650.3022491716738,676.5989022259427,34172.2,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,656.8124493766197,708.9623376557715,648.9997185602076,705.7526044146823,34833.14,4000,3,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
