communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
500,641.8595710052377,661.1744435681593,653.4139776603834,668.3600169444047,34366.44,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,645.4810175646386,684.9750974054901,620.6106748501284,670.5403496809954,33639.4,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,639.4702093316054,638.115358276945,655.3620677398718,649.2848208645536,32793.36,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,607.4930934597265,545.8669283984466,617.4033682968242,550.0892302932323,34013.34,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,650.8476158886266,661.3609382568031,651.477162458134,662.1100951630972,32515.0,3289,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,643.8547019562619,661.7932572032273,672.2045032266053,680.346083182677,35722.38,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,530.1400059644442,562.3217328588296,628.9528702020873,625.975937772483,34586.84,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,706.3330460507163,689.5917662071372,663.2960526736558,661.7769610735464,33591.08,3799,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,588.1126872837243,636.6122231521168,615.2389525043149,656.833727030624,36457.28,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,621.8822841592103,640.9731828699901,619.1055310275759,639.1220141155669,33207.5,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,655.9872633720682,684.7467332162915,670.6466929579213,694.0496849315812,35391.94,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,645.3594108348236,670.6897129445678,629.9082733419751,660.3889546160019,34264.88,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,662.0661872073637,597.1100632029971,726.6065066465969,640.1369428291525,36731.56,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,622.8801979897197,611.4831683439735,641.1065599800068,623.6340763374982,34636.86,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,591.219825264987,621.1135267390226,600.5318851714314,628.6936761144916,34712.54,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,674.0101679362252,636.2638017155513,677.3280167726158,639.8445081083803,36186.88,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,523.3513711264578,601.0354344722901,601.4689617664305,653.1138282322719,34607.4,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,524.3040132575297,555.4761900710392,587.4463544689248,595.4397399187769,37102.58,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,629.5827803707739,603.3765891739072,661.5650447394258,620.8188683819737,34650.2,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,706.0063524138379,686.4680127104,707.4186381800915,686.711182372246,35228.26,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,598.640336795182,626.5531095101906,614.543327117597,636.3544508989609,33109.8,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,546.083457103992,558.6314219698656,637.9119457819743,614.5650461677134,34784.58,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,667.1291225231687,632.7764655680653,657.9493200895528,627.4956924297041,32813.02,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,712.3457180683095,689.4578614763865,677.9008402980622,666.8798436688325,33878.76,3894,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,666.5722388494485,684.3401991831885,655.9470129825975,679.1495943519939,33332.48,3978,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,654.954210306513,608.7872839747079,638.068186743769,598.5059650251806,37625.13,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,591.5622377707272,597.322043424334,596.6417824564749,600.7084065481657,34761.68,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,568.0994959757853,580.0953209156604,592.9080254982327,595.7801602917872,34432.82,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,553.1990911376236,556.1069263262214,577.1203233476382,572.7548610336117,35647.58,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,512.4927509007756,579.7163646247612,596.0514241885551,635.9666488020739,34739.72,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,574.0501811824172,594.5915440030241,622.1168016004051,626.6359576150161,33774.58,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,532.8965792197025,596.7801066020406,559.2525055095201,614.3507241285857,33027.96,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,671.1049047872696,636.4655829054465,607.4369796627167,595.9555397052598,34993.42,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,617.4981889197601,647.5091523048586,605.0146212068671,642.0197425694627,33991.96,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,707.9424952567095,654.3075083583393,689.0602990865344,642.8778039358291,34268.28,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,572.9247079003342,613.1446428941274,624.3813806384975,647.8236493110487,34347.88,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,657.6236347022394,660.2079671730443,650.28654540124,655.9780024238316,34394.88,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,660.2486908277017,654.8122421739848,651.2826763373834,648.7172469858859,32312.28,3398,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,611.5701279825657,608.0109525789378,596.0899296443552,597.690820353464,34189.02,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,734.7934431605971,723.0220752724226,705.1703810210579,702.6783107043508,35351.42,3679,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,673.320591905529,683.8465757212147,679.7754391175525,688.149807195897,33719.08,3433,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,687.359382819122,697.3751481065162,704.6998399140534,708.9354528364706,34614.18,3813,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,598.999373080094,630.9766841025162,603.9806304276893,635.197390790074,34811.72,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,566.2107752936297,661.7447454845984,619.3477744794859,694.342946874828,34739.82,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,645.2977911327912,675.3785384566298,629.8459783480766,669.6305859443421,33470.22,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,685.8485926692357,696.8175100622028,698.4363084295006,705.2632805146226,34462.46,3509,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,670.1147918419376,640.030743678125,685.143316756961,648.5460078521793,36516.62,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,669.2202298456098,619.304697585512,670.6584782452964,616.8399444746507,35293.8,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,724.9849422483438,640.8464471656524,697.6090593675805,620.7037715050791,34693.72,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,568.2312725000786,598.770854746548,589.7399635293638,613.4110118066443,34242.4,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,692.9091047521804,657.6485605179206,693.5604676018628,659.2798659871736,34449.84,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,580.9937068242464,576.9134423108395,641.7994250804378,617.4505878149671,34760.18,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,567.3932803146819,558.9646586818956,573.5934566416022,562.6104829678522,36431.26,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,684.2503963217878,673.7395159211175,680.7472307185212,671.1704816923597,33443.34,3737,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,641.0103485735075,611.0725220667563,661.3180234412173,622.9361219327476,35025.48,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,639.8836475847991,626.373404879283,641.436187860203,628.4126172616137,32319.5,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,568.522334484858,614.7534764145156,592.4875302064963,630.7302735622744,34487.9,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,606.9733986076868,579.3208606264828,651.0395127477013,611.0888917905329,34766.36,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,724.6100575626804,710.8854206312789,707.416543055094,699.4230776262212,35057.8,3957,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,600.2724784776472,619.6565410764689,664.3811259399879,663.8864588801467,35347.26,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,588.5880202744102,588.4321713856476,593.1390864832738,591.4662155248899,34889.96,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,612.4408172785056,584.836509588094,659.095180126358,618.4147071712711,35179.82,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,621.954381736883,647.7329439123607,643.7503625785631,662.2635978068141,36607.38,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,630.3382113109055,659.1524505352601,702.5176361184672,704.3810547014207,35219.8,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,698.1105865903397,664.1402950813535,650.903271306316,633.5512198103403,32742.66,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,699.7415472711097,711.194274398414,692.4399112596184,708.2019533712994,34801.98,3452,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,640.8391580026562,547.3819765152326,627.3407568596677,541.0483350980548,31751.64,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,651.7678383081224,664.3635451877178,645.8526211099273,660.4200670555877,32479.88,3451,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,649.8407904827283,608.8517193861633,639.8322737889449,601.1466897768817,31897.34,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,679.1039446616046,622.97571449986,671.7460112263118,616.4447489854499,33853.46,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,713.5064000600282,662.4551614947507,705.3296096337463,655.5748196059293,35590.0,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,694.5905988146397,707.8507258144565,691.1249114300068,706.0977947041829,34689.08,3626,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,682.3688137353722,661.1068190704034,653.6920982690831,642.2361661195881,32551.86,3517,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,660.5713563861613,629.1813898114061,655.3920133207708,625.7284944344792,35414.02,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,588.0923553671785,587.5771875536125,661.8122114081232,636.7237582475755,35505.96,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,659.4285879666754,662.9689819453657,661.2951924537797,664.2691779198215,34133.68,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,585.0680802965373,509.1890708332376,641.070262995154,542.1278195602515,35087.6,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,638.531756966201,654.6548074206395,641.687330886735,656.7585233676621,34095.74,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,702.0884005362765,711.7879859826113,701.7655503198453,711.2386713162318,34968.2,3860,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,637.7205568114834,584.5037758190097,634.4800799599493,584.0093347226849,33725.36,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,695.6597685496214,635.8473586692926,667.863798017499,618.3839262928178,34766.86,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,559.6944716516196,552.9353932738169,590.7155733699741,571.0974490796427,35300.9,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,669.2653739121392,659.3918611870016,658.2452710521428,652.0451259470041,32585.92,3440,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
500,638.7119268149512,638.7684300379078,661.2483453161154,654.5420395479576,33241.18,4000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
