Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,672.7262461461753,61.35781288063995,9.120769887028851
Av Savings Contractors,675.2698108094067,56.70097945855659,8.396788742945937
Av Savings Managers,650.1486193422867,42.37555494269096,6.517825875806607
Av Savings non-Alliance,660.277265132596,51.134105204163696,7.744338311253987
Total Fuel Used,41333.77119999999,5981.413294025346,14.471007895900259
steps,16449.893333333333,6387.773349677245,38.83170073044392
negotiation_method,1.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,75.0,0.0,0.0
mean_arrival_time,3198.550176411086,109.19186984832875,3.4137926193437687
std_arrival_time,260.2570611649299,57.27911014595673,22.008667080758997
