Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,500.0,0.0,0.0
Av Savings Alliance,620.3585894193787,62.42217106926462,10.062272391148532
Av Savings Contractors,630.2065024139112,42.584614521638166,6.757247720949278
Av Savings Managers,632.1256999771724,46.831317687180274,7.408545118300279
Av Savings non-Alliance,638.0940902594828,38.50361449717369,6.034159395131851
Total Fuel Used,34478.38619999999,1321.586172374574,3.833085935949561
steps,3943.02,164.57959788626303,4.173947834052656
negotiation_method,1.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2648.081933058023,98.09878246456405,3.7045221765959075
std_arrival_time,215.10473535823127,45.52514997965982,21.1641784193375
