Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,657.1166010116518,30.55555734216214,4.649944514431821
Av Savings Contractors,655.7696305829601,26.331495722077644,4.015357603350694
Av Savings Managers,652.1928273485196,28.289103860785563,4.337536795029547
Av Savings non-Alliance,652.5336271137534,27.882898436544366,4.273020926120587
Total Fuel Used,37245.03689999999,5615.430934044297,15.076991195152495
steps,11985.79,8384.236938222979,69.95147535726038
negotiation_method,2.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2622.823819337192,90.08339769709814,3.434595836477606
std_arrival_time,196.35456245550802,37.1376698853255,18.913576247427674
