Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,656.4162316708608,32.62413092921205,4.970037204316177
Av Savings Contractors,654.4745002395208,28.981289167280398,4.428176981177112
Av Savings Managers,653.5462817787707,30.013848890254742,4.5924595896354
Av Savings non-Alliance,652.4649911303582,29.30944326143035,4.492109716209206
Total Fuel Used,33075.8557,1113.0203812043478,3.3650539272498636
steps,3638.34,348.80958366502153,9.587052987489391
negotiation_method,2.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2611.557446028486,97.83348977063156,3.746174142920401
std_arrival_time,194.58793941702513,31.259598642069957,16.064509823025013
