Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,500.0,0.0,0.0
Av Savings Alliance,629.5411077388064,56.153464871941445,8.919745538720125
Av Savings Contractors,632.6329610552996,47.048900292453,7.436997941740245
Av Savings Managers,639.3970340278495,40.814919103702955,6.383345078501761
Av Savings non-Alliance,639.1635209308729,41.756374764634664,6.532972142061705
Total Fuel Used,34537.93585,1244.3294329746896,3.6027903878763192
steps,3940.165,163.22490503325642,4.142590603014249
negotiation_method,1.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,200.0,0.0,0.0
mean_arrival_time,2652.107863288454,111.31261014801139,4.197137367180476
std_arrival_time,208.35030730125553,41.13618417460386,19.743759780073038
