Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,50.0,0.0,0.0
Av Savings Alliance,623.4515990336101,28.833387059741455,4.624799600231205
Av Savings Contractors,680.9867400981225,27.651327582010083,4.060479588490348
Av Savings Managers,602.2608291496559,28.82571807138881,4.786251516986156
Av Savings non-Alliance,668.081735176702,29.844047552141866,4.467125200518821
Total Fuel Used,33974.6976,3074.0267874456745,9.047988663909917
steps,8861.92,8035.1124431045355,90.67010809287981
negotiation_method,0.0,0.0,
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2415.8476040685337,89.88369466281861,3.720586286628565
std_arrival_time,161.35352588802553,24.35013449142448,15.09116975127196
