Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,654.8206566964486,30.532097594797744,4.662665614250976
Av Savings Contractors,661.0517296479292,27.946858460542764,4.227635630788991
Av Savings Managers,656.6727639133485,31.158703526049013,4.744936174962263
Av Savings non-Alliance,662.3766184161934,28.832195101889443,4.352840106408045
Total Fuel Used,33637.24859999999,1153.0537997680926,3.427907595771947
steps,3724.76,350.1221178013999,9.399857112979088
negotiation_method,4.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2630.8128753874184,106.28438277946685,4.03998261426386
std_arrival_time,184.60675006574354,38.09505025303419,20.635784032527248
