Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,661.496514750243,32.59305011136537,4.92716883378763
Av Savings Contractors,662.3928485144337,24.644355180322123,3.720504416011236
Av Savings Managers,658.980674379573,33.67580989557597,5.110287934814109
Av Savings non-Alliance,660.7712151636506,27.545339253905656,4.168665132769685
Total Fuel Used,33635.049399999996,1197.6021081182735,3.5605778183226735
steps,3695.83,341.5028596239176,9.240220995660449
negotiation_method,4.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2633.5674007861458,101.59437555091637,3.857671367005433
std_arrival_time,184.75044407587535,36.617163739561384,19.81979741522193
