Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,652.6143015610918,31.27716598216712,4.792595857514967
Av Savings Contractors,654.3181631637433,33.978402240812,5.192948041747834
Av Savings Managers,655.2368670660461,19.00285923555078,2.900151104231951
Av Savings non-Alliance,656.0577551413023,30.129453135657208,4.59250011139155
Total Fuel Used,34087.660952380946,1132.1143378029656,3.3211851625269406
steps,3884.5714285714284,233.7827135244545,6.018236961868128
negotiation_method,3.0,0.0,0.0
joining_method,2.0,0.0,0.0
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,100.0,0.0,0.0
mean_arrival_time,2693.07139883784,75.56231931419717,2.8058045303516685
std_arrival_time,197.9812263294913,36.51449555662287,18.443413162747778
