communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
50,660.1325420334359,614.9086359385144,639.9188655366587,601.4328516073296,48563.52,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,661.6700152566711,632.5196687398073,643.1707527468118,620.1868270665678,71063.11,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,631.3367718483756,636.7203939255088,614.1925278281516,625.290897912026,50099.94,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,609.8791029056224,607.4560054250304,597.9744095391957,599.5195431807459,38658.36,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,725.071910681837,699.451187609866,725.1814100203113,700.3818612491971,53901.03,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,621.9824605772027,715.3764072353096,601.1137320508285,709.0814332300255,85790.4,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,656.8094185376862,629.352457957902,634.411013502029,614.251569415993,66646.78,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,723.5633695143194,665.7007897920112,682.4169209608697,637.1554153451208,42156.28,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,646.5452574268395,638.2187279714808,633.6649516756602,629.9354425570829,40282.42,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,643.6600373220432,707.6249381339675,641.2477996571926,706.0167796907338,45646.12,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,615.9540673048903,616.5720846989382,594.8172916239761,601.7557411424965,51578.38,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,575.4323226014297,588.4641316950815,594.1931081773162,600.9713220790056,68888.55,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,599.2066529021398,643.6353775950596,635.1479566774848,667.8791608092088,55204.22,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,591.681890360763,642.1229916944006,615.6867196982515,658.1262112527263,53610.92,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,641.1207940659228,617.6650215496405,648.5262728927989,622.6020074342246,71478.81,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,613.9216377349255,634.2133031847185,617.8841790542773,636.8549973976195,63927.88,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,597.2907806465511,619.3254971901763,587.4966575830591,614.9180044549896,61115.58,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,797.7708490892244,634.9896575261184,797.8818997999078,640.4934327423672,53343.06,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,692.009505292023,664.1901931354352,695.6101066866388,666.590594065179,42372.7,40000,1,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
