Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Av Savings Alliance,713.5104508723093,17.18171498258203,2.4080537238909887
Av Savings Contractors,709.6021720831625,27.734093814271578,3.908400355209349
Av Savings Managers,701.7590998499313,2.6487984573285765,0.3774512447213029
Av Savings non-Alliance,702.0293738093515,41.79061261944337,5.952829636269943
Total Fuel Used,35331.090231657596,910.084078931987,2.5758731841128624
steps,3783.5,166.17009357883867,4.3919675850096125
negotiation_method,3.0,0.0,0.0
joining_method,0.0,0.0,
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,2.0,0.0,0.0
mean_arrival_time,2749.9647999999997,106.84666306441194,3.8853829352438236
std_arrival_time,231.38988383692214,56.430607444950155,24.387672662786354
