Parameter/indicator,Mean Value,Standard Deviation,StD Percentage
communication_range,200.0,0.0,0.0
Total Fuel Used,36345.43039422641,1156.562143015512,3.182139076276383
steps,3129.9066666666668,126.853306781658,4.0529421574335975
negotiation_method,2.0,0.0,0.0
joining_method,0.0,0.0,
n_manager,40.0,0.0,0.0
max_bid_contractor,0.5,0.0,0.0
min_bid_auctioneer,0.5,0.0,0.0
n_iterations,75.0,0.0,0.0
mean_arrival_time,2330.572266666667,92.53767811871874,3.9705989572712124
std_arrival_time,162.9165940915802,23.7455578316023,14.575284957316395
